Item,Quantity Per PCB,Manufacturer PN,Manufacturer,Supplier PN,Supplier,Unit Price,Footprint,Value,References
55,2,MCT06030C4700FP500,Vishay Beyschlag,MCT0603-470-CFCT-ND,digikey,0.18,603,470,R7 R8
56,2,ERA-3AEB473V,Panasonic Electronics Components,P47KDBCT-ND,digikey,0.35,603,47K,R39 R52
57,2,ESR03EZPJ562,Rohm Semiconductor,RHM5.6KDCT-ND,digikey,0.1,603,5.6K,R43 R56
58,8,ESR03EZPJ680,Rohm Semiconductor,RHM68DCT-ND,digikey,0.1,603,68,R11 R12 R13 R14 R19 R20 R23 R24
59,2,RC0603FR-0780R6L,Yageo,311-80.6HRCT-ND,digikey,0.1,603,80,R60 R68
60,1,RC0603FR-07909KL,Yageo,311-909KHRCT-ND,digikey,0.1,603,900K,R1
61,7,Resistor (DNP),,DNP,,,603,DNP,R16 R18 R22 R26 R46 R100 R101
62,1,RS-187R05A2-DS MT RT (DNP),C&K,CKN10361CT-ND,digikey,0.53,SW-SPST,DNP,S3
63,2,CUS-12TB (DNP),Nidec Copal Electronics,563-1102-1-ND,digikey,0.71,"Surface Mount, Right Angle",DNP,S1 S2
64,1,AD7280AWBSTZ,Analog Devices Inc,AD7280AWBSTZ-ND,digikey,10.65,LQFP48_N,AD7280A,U$5
65,4,EPC2023,EPC,917-1088-1-ND,digikey,8.21,EPC2023,EPC2023,U$14 U$15 U$16 U$17
66,1,FT231XS-R,FTDI,768-1129-1-ND,digikey,2.12,SSOP20_L,FT231XS,U1
67,1,ISL9238HRTZ-T7A,Intersil,ISL9238HRTZ-T7ACT-ND,digikey,8.78,TQFN-32,ISL9238,U$10
68,1,ITS13FV2SR,C&K,CKN10459CT-ND,digikey,4.58,ITS13FV2SR,ITS13FV2SR,U$8
69,1,L3GD20HTR,STMicroelectronics,497-13931-1-ND,digikey,3.42,LGA-16,L3GD20H,U$4
70,2,L6235D013TR,STMicroelectronics,497-4009-1-ND,digikey,7.33,SO24W,L6235,U$1 U$7
71,1,LIS3DETR,STMicroelectronics,497-16262-1-ND,digikey,1.36,LGA-16,LIS3DE,U$3
72,1,LTC6102IDD#PBF,Linear Technology/Analog devices,LTC6102IDD#PBF-ND,digikey,4.07,DFN8-3X3,LTC6102DD,U5
73,1,SI7655DN-T1-GE3,Vishay/Siliconix,78-SI7655DN-T1-GE3,mouser,1.65,POWERPAK-1212-8S,SI7655DN,U$18
74,2,SS5P6-M3/86A,Vishay Semiconductor Diodes,SS5P6-M3/86AGICT-ND,digikey,0.65,TO-277A,SS3P6L,U$9 U$13
75,2,TPS61175PWPR,Texas Instruments,296-24013-1-ND,digikey,3.12,HTSSOP14PWP,TPS61175,U$2 U$11
76,1,TUSB320LAIRWBR,Texas Instruments,595-TUSB320LAIRWBR,digikey,1.82,X2QFN-12,TUSB320LAI,U$6
77,2,MIC5201-5.0YS,Microchip Technology,576-1254-ND,digikey,1.4,SOT223,V_REG_317SMD,U2 U3
78,1,744710215 (DNP),Wurth Electronics Inc,732-3252-ND,digikey,1.9,ROD-CORE-CHOKE,DNP,U$12
79,2,39281083 (DNP),Molex LLC,WM3803-ND,digikey,1.3,CON-MOLEX_5566-8,DNP,X1 X2
80,1,ST3215SB32768E0HPWBB,AVX Corp/Kyocera Corp,1253-1335-1-ND,digikey,0.66,CRYSTAL-SMD-3.2X1.5MM,32.768kHz,Y2
